"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"Katiellen Nágila Advogada Família e Criminalista","Advogado","Service establishment",,,,,,,,,,,,,,,,"+55 19 99793-3818","+5519997933818","-22.753898","-47.4662386",,"Advogado"
"OAP Advocacia","Advogado",,,,,,,,"R. 2550, 1114 - Sala 1 - Centro, Balneário Camboriú - SC, 88330-390, Brasil","Centro","R. 2550, 1114 - Sala 1","Balneário Camboriú","88330-390","Santa Catarina","BR",,,"+55 47 99928-9602","+5547999289602","-27.0010387","-48.6372329","X9X7+H4 Centro, Balneário Camboriú - SC, Brasil","Advogado"
"Rosa Ribas Marinho","Advogado de Direito de Família",,,,,,,,"Sede OAB/BC - R. 916, 612 - Centro, Balneário Camboriú - SC, 88330-570, Brasil","Centro","Sede OAB/BC - R. 916, 612","Balneário Camboriú","88330-570","Santa Catarina","BR",,,"+55 47 99965-5844","+5547999655844","-26.9946791","-48.6399083","2946+42 Centro, Balneário Camboriú - SC, Brasil","Advogado de Direito de Família"
"Dra. APARECIDA JESUS - ADVOGADA CRIMINALISTA","Advogado criminal","Service establishment",,,,,,,,,,,,,,,,"+55 47 99966-4204","+5547999664204","4.0326055","-40.0859881",,"Advogado criminal"
"Nathanael F. Abreu Advogado criminalista/familia","Advogado","Advogado de Direito de Família",,,,,,,"R. Padre Alberto Romuald Jakobs, Jackobs, 153 - Nova Brasília, Jaraguá do Sul - SC, 89260-370, Brasil","Nova Brasília","R. Padre Alberto Romuald Jakobs, Jackobs, 153","Jaraguá do Sul","89260-370","Santa Catarina","BR",,,"+55 47 99774-8094","+5547997748094","-26.4822362","-49.0942249","GW94+48 Nova Brasília, Jaraguá do Sul - SC, Brasil","Advogado"
"Natália Ponciano - Advocacia Criminal e Cível","Advogado criminal","Advogado",,,,,,,"R. Abdon Batista, 121 - Centro, Joinville - SC, 89201-010, Brasil","Centro","R. Abdon Batista, 121","Joinville","89201-010","Santa Catarina","BR",,,"+55 47 99953-3235","+5547999533235","-26.3054235","-48.8440241","M5V4+R9 Centro, Joinville - SC, Brasil","Advogado criminal"
"DIVÓRCIO EM BARUERI","Serviços jurídicos","Advogado(a) civil","Advogado de Direito de Família","Advogado trabalhista","Advogado","Advogado previdenciário",,,"Rua Campos Sales, 11 - Sala 21 - Centro, Barueri - SP, 06401-000, Brasil","Centro","Rua Campos Sales, 11 - Sala 21","Barueri","06401-000","São Paulo","BR",,,"+55 11 98794-4147","+5511987944147","-23.5117849","-46.8750329","F4QF+7X Centro, Barueri - SP, Brasil","Serviços jurídicos"
"Escritório de Advocacia Bruna Ehmke Rex - Especializado em Direito de Família","Serviços jurídicos",,,,,,,,"R. 420, 133 - sala 03 - Morretes, Itapema - SC, 88220-000, Brasil","Morretes","R. 420, 133 - sala 03","Itapema","88220-000","Santa Catarina","BR",,,"+55 47 99903-5999","+5547999035999","-27.1197321","-48.6105427","V9JQ+4Q Morretes, Itapema - SC, Brasil","Serviços jurídicos"
"Luana Carvalho Advocacia - Barueri - São Paulo","Escritório de advocacia",,,,,,,,"Al. Rio Negro, 503 - Sala 2020 - Alphaville, Barueri - SP, 06454-000, Brasil","Alphaville","Al. Rio Negro, 503 - Sala 2020","Barueri","06454-000","São Paulo","BR",,,"+55 11 94185-2771","+5511941852771","-23.5013965","-46.8487154","F5X2+CG Alphaville, Santana de Parnaíba - SP, Brasil","Escritório de advocacia"
"Caroline Marques Advocacia","Advogado imobiliário",,,,,,,,"R. 216, 50 - Meia Praia, Itapema - SC, 88220-000, Brasil","Meia Praia","R. 216, 50","Itapema","88220-000","Santa Catarina","BR",,,"+55 47 99291-3757","+5547992913757","-27.1214711","-48.6070117","V9HV+C5 Meia Praia, Itapema - SC, Brasil","Advogado imobiliário"
"Graziane Liebel -Advogada Direito Imobiliário - Itapema/SC","Advogado imobiliário",,,,,,,,"Advocacia Galitski - R. 138, 59 - Centro, Itapema - SC, 88220-000, Brasil","Centro","Advocacia Galitski - R. 138, 59","Itapema","88220-000","Santa Catarina","BR",,,"+55 47 98812-4590","+5547988124590","-27.1020379","-48.6159482","V9XM+5J Centro, Itapema - SC, Brasil","Advogado imobiliário"
"Advogada Criminal Aline Diniz","Advogado criminal",,,,,,,,"R. Abdon Batista, 121 - Centro, Joinville - SC, 89201-010, Brasil","Centro","R. Abdon Batista, 121","Joinville","89201-010","Santa Catarina","BR",,,"+55 47 99735-6717","+5547997356717","-26.3054235","-48.8440241","M5V4+R9 Centro, Joinville - SC, Brasil","Advogado criminal"
"Raquel Feitoza | Advogada de Família e Sucessões","Advogado",,,,,,,,"Av. Ário Barnabé, 1458 - Jardim Morada do Sol, Indaiatuba - SP, 13346-400, Brasil","Jardim Morada do Sol","Av. Ário Barnabé, 1458","Indaiatuba","13346-400","São Paulo","BR",,,"+55 19 99497-6141","+5519994976141","-23.116151","-47.2383931","VQM6+GJ Jardim Morada do Sol, Indaiatuba - SP, Brasil","Advogado"
"Barboza & Fischborn Advocacia E Assessoria Jurídica Imobiliária","Advogado imobiliário",,,,,,,,"R. 234, 108 - Sala 02 - Meia Praia, Itapema - SC, 88220-000, Brasil","Meia Praia","R. 234, 108 - Sala 02","Itapema","88220-000","Santa Catarina","BR",,,"+55 47 3241-6457","+554732416457","-27.12569","-48.6048592","V9FW+P3 Meia Praia, Itapema - SC, Brasil","Advogado imobiliário"
"Lopes Andrade Advocacia Previdenciária","Serviços jurídicos",,,,,,,,"R. Gov. Celso Ramos, 432 - Centro, Itapema - SC, 88220-000, Brasil","Centro","R. Gov. Celso Ramos, 432","Itapema","88220-000","Santa Catarina","BR",,,"+55 47 99993-0393","+5547999930393","-27.0914256","-48.6141576","W95P+C8 Centro, Itapema - SC, Brasil","Serviços jurídicos"
