"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","url","categoryName"
"Balbiseg Treinamentos | Treinamentos NR 06, NR 18 E NR 35 | Treinamentos de Combate a Incêndio e Trabalho em Altura.","5","24",,,,,"https://balbiseg.com.br/","+55 11 95487-2865","Saúde e segurança ocupacional","Service establishment",,,,,"https://www.google.com/maps/search/?api=1&query=Balbiseg%20Treinamentos%20%7C%20Treinamentos%20NR%2006%2C%20NR%2018%20E%20NR%2035%20%7C%20Treinamentos%20de%20Combate%20a%20Inc%C3%AAndio%20e%20Trabalho%20em%20Altura.&query_place_id=ChIJLZCGPj4NRgoRmmb4LLQVInI","Saúde e segurança ocupacional"
"NR 35","5","2","R. Sete de Abril, 264","São Paulo","São Paulo","BR",,"+55 11 3231-3026","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=NR%2035&query_place_id=ChIJN1XFH1JYzpQRjXtLqNyUHwQ","Centro de treinamento"
"Curso NR10","4.8","8","Av. Rangel Pestana, 1.105","São Paulo","São Paulo","BR","http://curso-de-nr-10.com.br/","+55 11 3555-1000","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=Curso%20NR10&query_place_id=ChIJA-24Lh1ZzpQRHD4KqR6BDlM","Centro de treinamento"
"Curso NR10 SP - (Treinamento e Curso da Norma NR 10 em São Paulo) - Ma Consultoria SP","4.7","30","R. do Bosque, 1930 - sala 1","São Paulo","São Paulo","BR","https://cursari.com.br/","+55 11 3522-8441","Centro de treinamento","Engenheiro eletricista",,,,,"https://www.google.com/maps/search/?api=1&query=Curso%20NR10%20SP%20-%20(Treinamento%20e%20Curso%20da%20Norma%20NR%2010%20em%20S%C3%A3o%20Paulo)%20-%20Ma%20Consultoria%20SP&query_place_id=ChIJIY8bYUJezpQRr37t57dJrnE","Centro de treinamento"
"MA Consultoria - Curso nr10 sp","5","1","R. do Arraial, 209 - apto 162A","São Paulo","São Paulo","BR","https://cursonr10sp.net/","+55 11 3522-8441","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=MA%20Consultoria%20-%20Curso%20nr10%20sp&query_place_id=ChIJZ-65YNhbzpQR3EM9r1SvIN8","Centro de treinamento"
"Curso NR 10 NR 33 NR 35 SP Engehall","4.8","16",,,,,"https://www.cursonr10.com/","+55 11 3090-2670","Centro de treinamento","Service establishment",,,,,"https://www.google.com/maps/search/?api=1&query=Curso%20NR%2010%20NR%2033%20NR%2035%20SP%20Engehall&query_place_id=ChIJrTlAcFhWzpQRACgwGGreSb0","Centro de treinamento"
"SST+ | Saúde e Segurança do Trabalho em São Paulo","5","28","Paulista Corporate - Av. Paulista, 1636 - sala, 1504","São Paulo","São Paulo","BR","https://sstmaisweb.com.br/","+55 11 91460-5790","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=SST%2B%20%7C%20Sa%C3%BAde%20e%20Seguran%C3%A7a%20do%20Trabalho%20em%20S%C3%A3o%20Paulo&query_place_id=ChIJdR9JeJ5ZzpQRcgzV2-42C3Q","Saúde e segurança ocupacional"
"MSES - Ergonomia - Laudos e Treinamentos NR-17","5","2","R. José Versolato, 111 - Sala 3102B","São Bernardo do Campo","São Paulo","BR","https://www.mses.com.br/","+55 11 93375-8849","Consultoria",,,,,,"https://www.google.com/maps/search/?api=1&query=MSES%20-%20Ergonomia%20-%20Laudos%20e%20Treinamentos%20NR-17&query_place_id=ChIJS1oLVMRFdSMRbebWigxha4w","Consultoria"
"Treinamento em Segurança do Trabalho NR,s","5","1","R. Oliveira Alves, 251","São Paulo","São Paulo","BR","https://www.performancetreinamentos.com/","+55 11 91876-1770","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=Treinamento%20em%20Seguran%C3%A7a%20do%20Trabalho%20NR%2Cs&query_place_id=ChIJ-QAcmTdZzpQRcABfbF2ZWYA","Centro de treinamento"
"QTECK SSMA","4.8","12","R. Carlos Gomes, 306","São Bernardo do Campo","São Paulo","BR","https://qtecknr.com.br/","+55 11 4991-2288","Consultoria empresarial",,,,,,"https://www.google.com/maps/search/?api=1&query=QTECK%20SSMA&query_place_id=ChIJCfum9y5CzpQRAVCspYkNYE8","Consultoria empresarial"
"Smart Treinamentos - Capacitação em segurança do Trabalho","5","241","Rua 24 de Maio, 35 Conj 312/313, 3° andar","São Paulo","SP","BR","https://smartnrtreinamentos.com.br/","+55 11 2951-4815","Serviço de saúde ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=Smart%20Treinamentos%20-%20Capacita%C3%A7%C3%A3o%20em%20seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJfRfgBzlZzpQRX46JteB7lEA","Serviço de saúde ocupacional"
"NR - São Paulo - Escritório Central","4.5","206","Tv. Ubirassanga, 41","São Paulo","São Paulo","BR","http://nr.com.br/","","Acampamento de verão",,,,,,"https://www.google.com/maps/search/?api=1&query=NR%20-%20S%C3%A3o%20Paulo%20-%20Escrit%C3%B3rio%20Central&query_place_id=ChIJ27W7J3dazpQRuGI4OqgbdT4","Acampamento de verão"
"ED Medicina e Segurança do Trabalho","4.9","392","R. Mediterrâneo, 27 - sala 1, térreo","São Bernardo do Campo","São Paulo","BR","http://www.edmedseg.com.br/","+55 11 4121-7070","Serviço de saúde ocupacional","Saúde e segurança ocupacional",,,,,"https://www.google.com/maps/search/?api=1&query=ED%20Medicina%20e%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJj9gJ6bhDzpQRmCupNR2KJ7A","Serviço de saúde ocupacional"
"Curso Nr 35,Nr 10,Nr 18 Rondini Segurança do Trabalho","5","517","R. Serra de Bragança, 1392","São Paulo","São Paulo","BR","https://rondinisegurancadotrabalho.com.br/","+55 11 3475-0651","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=Curso%20Nr%2035%2CNr%2010%2CNr%2018%20Rondini%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJS_1cTVpezpQRMdeN8FbvSA4","Saúde e segurança ocupacional"
"Santimma SST - Campinas","4.9","215","Av. Ten Haraldo Egídio de Souza Santos, 365","Campinas","São Paulo","BR","https://santimma.com/","+55 19 3020-1897","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=Santimma%20SST%20-%20Campinas&query_place_id=ChIJR1t3_DrHyJQR4fxU8Lwz-do","Saúde e segurança ocupacional"
"Medicina do Trabalho Campinas - RC SST","5","1","R. José Camargo, 489","Hortolândia","São Paulo","BR","https://rcsst.com.br/","","Saúde e segurança ocupacional","Serviço de saúde ocupacional","Médico de medicina ocupacional",,,,"https://www.google.com/maps/search/?api=1&query=Medicina%20do%20Trabalho%20Campinas%20-%20RC%20SST&query_place_id=ChIJ0bhMgLHPyJQRpjBa7lLrDws","Saúde e segurança ocupacional"
"KFS TREINAMENTOS","4.7","11","Rua: - R. Angelo Nichele, 251","Curitiba","Paraná","BR","https://www.kfstreinamentos.com.br/","+55 41 99816-8124","Centro de treinamento","Serviço de empresa para empresa","Treinamento para emergências",,,,"https://www.google.com/maps/search/?api=1&query=KFS%20TREINAMENTOS&query_place_id=ChIJFZf_u2nm3JQRarT4EgaM_FQ","Centro de treinamento"
"Cursos de Máquinas Pesadas 3X MAIS UP Treinamentos (Unidade Curitiba - PR)","5","41","Galeria Ritz - R. Mal. Deodoro, 51 - 9 andar , Sala 909 B","Curitiba","Paraná","BR","https://3xmaistreinamentos.com.br/","+55 41 98510-4141","Escola técnica",,,,,,"https://www.google.com/maps/search/?api=1&query=Cursos%20de%20M%C3%A1quinas%20Pesadas%203X%20MAIS%20UP%20Treinamentos%20(Unidade%20Curitiba%20-%20PR)&query_place_id=ChIJu8rsqDadpJIR9e5kBNzuDZM","Escola técnica"
"SST Equipamentos Para Segurança do Trabalho","4.8","22","R. Luiz França, 626","Curitiba","Paraná","BR","http://www.sstequipamentos.com.br/","+55 41 99958-8805","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=SST%20Equipamentos%20Para%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJfUTm3yX73JQR6-0DBYUF2f8","Saúde e segurança ocupacional"
"IBRASST - Consultoria e Treinamentos: Cursos Cipa, NR 10, NR 35, NR 33, NR 20, Curitiba PR","5","4","R. Apucarana, 01","Curitiba","Paraná","BR","http://www.ibrasst.com.br/","+55 41 98436-6286","Centro de treinamento","Consultoria","Escola",,,,"https://www.google.com/maps/search/?api=1&query=IBRASST%20-%20Consultoria%20e%20Treinamentos%3A%20Cursos%20Cipa%2C%20NR%2010%2C%20NR%2035%2C%20NR%2033%2C%20NR%2020%2C%20Curitiba%20PR&query_place_id=ChIJB9ZL3Hn83JQRWsoGISzVM0k","Centro de treinamento"
"RCA Treinamentos","4.9","65","R. Cap. Antônio Naufal, 213","Curitiba","Paraná","BR","http://www.rcatreinamentos.com.br/","+55 41 3398-7272","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=RCA%20Treinamentos&query_place_id=ChIJxbB5keX73JQRPIsBHSocP58","Centro de treinamento"
"TREINING SEG","5","30","Rua Marechal Otávio Saldanha Mazza, 8725","Curitiba","Paraná","BR","https://www.treiningseg.com.br/","+55 41 99832-5670","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=TREINING%20SEG&query_place_id=ChIJCTdvAwH73JQRLOhO0Ewj7JA","Saúde e segurança ocupacional"
"RA - Consultoria em Segurança do Trabalho Zona Sul Cursos NR 10, 35, 18, 33","5","1390","R. Aristeu Dias Leme, 167","São Paulo","São Paulo","BR","http://www.raconsultoriaseg.com.br/","+55 11 5564-5747","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=RA%20-%20Consultoria%20em%20Seguran%C3%A7a%20do%20Trabalho%20Zona%20Sul%20Cursos%20NR%2010%2C%2035%2C%2018%2C%2033&query_place_id=ChIJnXdk-BhQzpQRmtoPf-VL-Nk","Centro de treinamento"
"Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - Santa Catarina","4.8","9","R. Silva Jardim, 213","Florianópolis","Santa Catarina","BR",,"+55 48 3212-0500","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=Funda%C3%A7%C3%A3o%20Jorge%20Duprat%20Figueiredo%20de%20Seguran%C3%A7a%20e%20Medicina%20do%20Trabalho%20-%20Santa%20Catarina&query_place_id=ChIJtXkhdzE4J5URJRqyhawhThk","Saúde e segurança ocupacional"
"KASSE- Engenharia de Segurança do Trabalho","4.1","7","R. Fúlvio Aducci, 471 - C","Florianópolis","Santa Catarina","BR","http://www.kasse.com.br/","+55 48 3733-5670","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=KASSE-%20Engenharia%20de%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJTXZaIe83J5URZCZ_8PzVzX0","Saúde e segurança ocupacional"
"Valean Segurança e Medicina do Trabalho","4.9","71","R. Tatuapé, 91","São Bernardo do Campo","São Paulo","BR","https://valean.com.br/","+55 11 4361-0592","Consultoria",,,,,,"https://www.google.com/maps/search/?api=1&query=Valean%20Seguran%C3%A7a%20e%20Medicina%20do%20Trabalho&query_place_id=ChIJhUL1eqBEzpQREdkgqttjnow","Consultoria"
"NRtec Segurança do Trabalho","5","278","R. Cel. Xavier de Toledo, 264","São Paulo","São Paulo","BR","https://wa.me/5511993120303","+55 11 99312-0303","Serviço de saúde ocupacional","Consultor de proteção contra incêndios","Saúde e segurança ocupacional",,,,"https://www.google.com/maps/search/?api=1&query=NRtec%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJu5Hh-yJZzpQRQaJX8gi7Mh8","Serviço de saúde ocupacional"
"NR Serviços e Segurança no Trabalho","5","1","R. Guarujá, 264","Joinville","Santa Catarina","BR",,"+55 47 3804-8556","Saúde e segurança ocupacional",,,,,,"https://www.google.com/maps/search/?api=1&query=NR%20Servi%C3%A7os%20e%20Seguran%C3%A7a%20no%20Trabalho&query_place_id=ChIJHZ_CGh6x3pQRql7Qm21NZak","Saúde e segurança ocupacional"
"DBL Treinamentos - Curso NR35 trabalho em Altura","5","2","Rua José Rodrigues Pinheiro, 1262","Curitiba","Paraná","BR","https://www.dbltreinamentos.com.br/","+55 800 932 8000","Centro de treinamento",,,,,,"https://www.google.com/maps/search/?api=1&query=DBL%20Treinamentos%20-%20Curso%20NR35%20trabalho%20em%20Altura&query_place_id=ChIJN_ljIm_93JQRiUsTnKftJiM","Centro de treinamento"
"Qualiseg e Instituto VitaBarreto - Curso NR35 e Brigada de Incêndio","4.9","203","R. Cafeara, 276","Curitiba","Paraná","BR","https://qualisegtreinamentos.com.br/","+55 41 3078-8460","Centro de treinamento","Treinamento para emergências","Serviços de proteção contra incêndio","Saúde e segurança ocupacional",,,"https://www.google.com/maps/search/?api=1&query=Qualiseg%20e%20Instituto%20VitaBarreto%20-%20Curso%20NR35%20e%20Brigada%20de%20Inc%C3%AAndio&query_place_id=ChIJubzQ1Jb83JQRqtlGS6B2L-s","Centro de treinamento"
"Opus SST - Saúde e Segurança do Trabalho","4.8","51","Rod. José Carlos Daux, 5025 - 2° ANDAR SALA 10 - Saco Grande, Florianópolis - SC, 88032-005","Florianópolis","SC","BR","https://opussst.com/","+55 48 3050-5910","Consultório médico","Serviço de exame de sangue","Serviço de saúde ocupacional","Saúde e segurança ocupacional",,,"https://www.google.com/maps/search/?api=1&query=Opus%20SST%20-%20Sa%C3%BAde%20e%20Seguran%C3%A7a%20do%20Trabalho&query_place_id=ChIJk1KoTBtHJ5URlhgUPVp4ckQ","Consultório médico"
"Biolife - Medicina e Segurança do Trabalho Florianópolis","5","7","Edificio Alianca - R. Felipe Schmidt, 315 - sala 1002, 10° Andar","Florianópolis","Santa Catarina","BR","https://biolifemed.com.br/","+55 48 99900-1122","Serviço de saúde ocupacional","Serviço de exame de sangue","Serviço de exames antidoping","Saúde e segurança ocupacional","Optometrista","Fonoaudiólogo","https://www.google.com/maps/search/?api=1&query=Biolife%20-%20Medicina%20e%20Seguran%C3%A7a%20do%20Trabalho%20Florian%C3%B3polis&query_place_id=ChIJX6uGxa05J5URqBGuGN24oM0","Serviço de saúde ocupacional"
"Premium Treinamentos","4.9","47","Rua Daisy Luci Berno, 2446","Curitiba","Paraná","BR","http://www.premiumtreinamentos.com.br/","+55 41 3201-5529","Centro de treinamento","Escola particular","Fornecedor de sistema de segurança",,,,"https://www.google.com/maps/search/?api=1&query=Premium%20Treinamentos&query_place_id=ChIJIaaWj13j3JQRaaegI_XV70k","Centro de treinamento"
