"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"Marido de aluguel/ Empreiteira","Prestador de serviços de construção civil","Eletricista","Empreiteira para instalação/reparo de pisos","Empreiteira","Pintor","Encanador",,,,"Rua Brazilio Machado Neto - Jardim Marchesi, Ribeirão Preto - SP, 14031-290, Brasil","Jardim Marchesi","Rua Brazilio Machado Neto","Ribeirão Preto","14031-290","São Paulo","BR",,,"+55 16 98805-7813","+5516988057813","-21.2040903","-47.8361944","Q5W7+9G Jardim Marchesi, Ribeirão Preto - SP, Brasil","Prestador de serviços de construção civil"
"Ribeiro Terraplenagem","Empresa de Terraplenagem",,,,,,,,,"CATARATAS - industrial, Cascavel - PR, 85818-640, Brasil","industrial","CATARATAS","Cascavel","85818-640","PR","BR",,,"+55 45 99816-0835","+5545998160835","-24.9478452","-53.3979187","3J22+VR Cascavel, Paraná, Brasil","Empresa de Terraplenagem"
"Ellano Artefatos de Concreto","Empreiteira de pavimentação",,,,,,,,,"Albino Schmidt - R. Sergio Gaspareto, 588 - Núcleo Industrial, Cascavel - PR, 85804-608, Brasil","Núcleo Industrial","Albino Schmidt - R. Sergio Gaspareto, 588","Cascavel","85804-608","Paraná","BR",,,"+55 45 3228-6000","+554532286000","-24.9988219","-53.5291111","2F2C+F9 Cascavel, Paraná, Brasil","Empreiteira de pavimentação"
"Af terraplenagem cascavel pr","Empresa de Terraplenagem","Service establishment",,,,,,,,,,,,,,,,,"+55 45 99966-3381","+5545999663381","-24.9637707","-53.4711604",,"Empresa de Terraplenagem"
"ABOVE ENGENHARIA","Construtora",,,,,,,,,"Av. Duque de Caxias, 882 - Sala 1003 Torre 2 - Zona 7, Maringá - PR, 87020-025, Brasil","Zona 7","Av. Duque de Caxias, 882 - Sala 1003 Torre 2","Maringá","87020-025","Paraná","BR",,,"+55 44 99816-5295","+5544998165295","-23.4178868","-51.9393508","H3J6+R7 Zona 7, Maringá - PR, Brasil","Construtora"
"DS Empreiteira - Reformas e Reparos","Empreiteira",,,,,,,,,"Av. Primeiro de Maio, 979 - Vila Virginia, Ribeirão Preto - SP, 14030-390, Brasil","Vila Virginia","Av. Primeiro de Maio, 979","Ribeirão Preto","14030-390","São Paulo","BR",,,"+55 16 3102-3759","+551631023759","-21.1870215","-47.8233859","R57G+5J Vila Virginia, Ribeirão Preto - SP, Brasil","Empreiteira"
"LP GARCIA CONSTRUÇÕES E REFORMAS","Prestador de serviços de construção civil",,,,,,,,,"R. João García, 226 - Parque Res. Candido Portinari, Ribeirão Preto - SP, 14093-513, Brasil","Parque Residencial Candido Portinari","R. João García, 226","Ribeirão Preto","14093-513","São Paulo","BR",,,"+55 16 98826-0355","+5516988260355","-21.1629963","-47.7475519","R7P2+RX Parque Res. Candido Portinari, Ribeirão Preto - SP, Brasil","Prestador de serviços de construção civil"
"ECEC Construtora","Empresa de Terraplenagem",,,,,,,,,"R. Paraguai, 605 - Alto Alegre, Cascavel - PR, 85805-017, Brasil","Alto Alegre","R. Paraguai, 605","Cascavel","85805-017","Paraná","BR",,,"+55 45 3224-2596","+554532242596","-24.9627362","-53.4806671","2GP9+WP Alto Alegre, Cascavel - PR, Brasil","Empresa de Terraplenagem"
"Empreiteira Irmãos Menezes","Prestador de serviços de construção civil",,,,,,,,,"R. Serafim Teixeira da Cunha, 530 - Jardim Castelo Branco, Ribeirão Preto - SP, 14090-570, Brasil","Jardim Castelo Branco","R. Serafim Teixeira da Cunha, 530","Ribeirão Preto","14090-570","São Paulo","BR",,,"","","-21.1856496","-47.7776865","R67C+PW Jardim Castelo Branco, Ribeirão Preto - SP, Brasil","Prestador de serviços de construção civil"
"Rodrigues Construção e Reformas em Ribeirão Preto","Pedreiro",,,,,,,,,"R. Rondônia, 1758 - Sumarezinho, Ribeirão Preto - SP, 14055-230, Brasil","Sumarezinho","R. Rondônia, 1758","Ribeirão Preto","14055-230","São Paulo","BR",,,"+55 16 99750-6229","+5516997506229","-21.1553253","-47.8373537","R5V7+V3 Sumarezinho, Ribeirão Preto - SP, Brasil","Pedreiro"
"SPS PINTURAS EM SOROCABA","Pintor","Pintura",,,,,,,,"R. Roberto Justi, 254 - Santa Catarina 1, Sorocaba - SP, 18079-426, Brasil","Santa Catarina 1","R. Roberto Justi, 254","Sorocaba","18079-426","São Paulo","BR",,,"+55 15 99720-5858","+5515997205858","-23.4423223","-47.4654746","HG5M+3R Sorocaba, São Paulo, Brasil","Pintor"
"L.L Construções e Reformas","Construtora",,,,,,,,,"Rua Elir Cunha Sanches, 445 - Jardim Ângelo Jurca, Ribeirão Preto - SP, 14093-669, Brasil","Jardim Ângelo Jurca","Rua Elir Cunha Sanches, 445","Ribeirão Preto","14093-669","São Paulo","BR",,,"+55 16 98229-6259","+5516982296259","-21.1698215","-47.7244725","R7JG+36 Jardim Ângelo Jurca, Ribeirão Preto - SP, Brasil","Construtora"
"Garcia Reformas e Construções","Complexo de condomínio","Pedreiro",,,,,,,,"R. Júlio Ribeiro - Parque Ribeirao Preto, Ribeirão Preto - SP, 14031-140, Brasil","Parque Ribeirao Preto","R. Júlio Ribeiro","Ribeirão Preto","14031-140","São Paulo","BR",,,"+55 16 99454-3599","+5516994543599","-21.1933321","-47.8430138","R544+MQ Parque Ribeirao Preto, Ribeirão Preto - SP, Brasil","Complexo de condomínio"
"Empreiteira D.Cardoso","Reformas",,,,,,,,,"R. Artur Tarsitani - Jardim Goncalves, Sorocaba - SP, 18016-620, Brasil","Jardim Goncalves","R. Artur Tarsitani","Sorocaba","18016-620","São Paulo","BR",,,"+55 15 99662-2409","+5515996622409","-23.4914296","-47.4258143","GH5F+CM Jardim Goncalves, Sorocaba - SP, Brasil","Reformas"
"Dm construções e reformas","Construtora",,,,,,,,,"R. Vicente Urbano, 100 - Jardim Manoel Penna, Ribeirão Preto - SP, 14098-320, Brasil","Jardim Manoel Penna","R. Vicente Urbano, 100","Ribeirão Preto","14098-320","São Paulo","BR",,,"+55 16 98828-9466","+5516988289466","-21.2143499","-47.7716755","Q6PH+78 Jardim Manoel Penna, Ribeirão Preto - SP, Brasil","Construtora"
"MG Construção Civil","Construtora",,,,,,,,,"R. Roberto Carlos Medeiros, 241 - Parque Santo Antônio, Uberlândia - MG, 38414-581, Brasil","Parque Santo Antônio","R. Roberto Carlos Medeiros, 241","Uberlândia","38414-581","Minas Gerais","BR",,,"+55 34 3237-3021","+553432373021","-18.9407971","-48.3471534","3M53+M4 Uberlândia, MG, Brasil","Construtora"
"Pedreiro em Uberlândia Marcelo Construtor REFORMAS CONSTRUÇÕES,PINTURAS","Prestador de serviços de construção civil","Construtora","Eletricista","Service establishment","Pintor","Encanador","Reformas","Serviço de pintura de janelas",,,,,,,,,,,"+55 34 99651-5753","+5534996515753","-18.9220717","-48.2636901",,"Prestador de serviços de construção civil"
"Vaz e Miranda Construção e Reforma","Construtora",,,,,,,,,"R. Ari Barroso, 183 - Santa Rosa, Uberlândia - MG, 38401-276, Brasil","Santa Rosa","R. Ari Barroso, 183","Uberlândia","38401-276","Minas Gerais","BR",,,"+55 34 99911-7338","+5534999117338","-18.881138","-48.2807124","4P99+GP Santa Rosa, Uberlândia - MG, Brasil","Construtora"
"Construtora ACS.Engenharia e Construções em Uberlândia -MG","Construtora","Fornecedor de reformas de banheiros","Eletricista","Engenheiro","Pedreiro","Empresa de construções metálicas","Encanador","Reformas","Telhadista","R. 7 de Setembro, 205 - Pacaembu, Uberlândia - MG, 38401-543, Brasil","Pacaembu","R. 7 de Setembro, 205","Uberlândia","38401-543","Minas Gerais","BR",,,"+55 34 99168-3315","+5534991683315","-18.887138","-48.2887349","4P76+4G Pacaembu, Uberlândia - MG, Brasil","Construtora"
"Fs Reformas e Acabamentos |Pedreiro em Sorocaba","Construtor Imobiliário",,,,,,,,,"Viela Pedro Prestes de Souza, 28 - Jardim Nova Esperanca, Sorocaba - SP, 18061-319, Brasil","Jardim Nova Esperanca","Viela Pedro Prestes de Souza, 28","Sorocaba","18061-319","São Paulo","BR",,,"+55 15 98178-0535","+5515981780535","-23.4969553","-47.4885395","GG36+6H Jardim Nova Esperanca, Sorocaba - SP, Brasil","Construtor Imobiliário"
"Impermeabilização Construção Civil - Uberlândia","Serviço de impermeabilização",,,,,,,,,"Av. Iraque, 1445 - Laranjeiras, Uberlândia - MG, 38410-521, Brasil","Laranjeiras","Av. Iraque, 1445","Uberlândia","38410-521","Minas Gerais","BR",,,"+55 34 99642-5514","+5534996425514","-18.9665543","-48.2403417","2QM5+9V Laranjeiras, Uberlândia - MG, Brasil","Serviço de impermeabilização"
"PS Construtora LTDA","Engenheiro civil",,,,,,,,,"Geraldo de Morais, 40 - Cazeca, Uberlândia - MG, 38400-020, Brasil","Cazeca","Geraldo de Morais, 40","Uberlândia","38400-020","Minas Gerais","BR",,,"+55 34 99841-9441","+5534998419441","-18.9151721","-48.2662028","3PMM+WG Cazeca, Uberlândia - MG, Brasil","Engenheiro civil"
