"title","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","address","neighborhood","street","city","postalCode","state","countryCode","website","emails","phone","phoneUnformatted","location/lat","location/lng","plusCode","categoryName"
"CHR Construtora","Construtora","Desenvolvimento de moradias",,,,,,,"R. Padre José Hermano Torres Portugal, 177 - Cará-Cará, Ponta Grossa - PR, 84033-822, Brasil","Cará-Cará","R. Padre José Hermano Torres Portugal, 177","Ponta Grossa","84033-822","Paraná","BR",,,"+55 42 99823-1781","+5542998231781","-25.1216123","-50.1157913","VVHM+9M Cará-Cará, Ponta Grossa - PR, Brasil","Construtora"
"CASAS E CHALÉS DE MADEIRA","Construtora","Reformas","Serviço de instalação de piso de madeira",,,,,,"R. Guilherme Berner, 391 - Santo Antônio, Joinville - SC, 89218-090, Brasil","Santo Antônio","R. Guilherme Berner, 391","Joinville","89218-090","Santa Catarina","BR",,,"+55 47 99936-9426","+5547999369426","-26.2710618","-48.8588132","P4HR+HF Santo Antônio, Joinville - SC, Brasil","Construtora"
"Rio Vale Casas Pré Fabricadas em madeira","Construtora de casas pré-fabricadas",,,,,,,,"R. Hertha Meier Hoffmann, 169 - Jaraguá 99, Jaraguá do Sul - SC, 89260-791, Brasil","Jaraguá 99","R. Hertha Meier Hoffmann, 169","Jaraguá do Sul","89260-791","Santa Catarina","BR",,,"+55 47 99162-3716","+5547991623716","-26.5067806","-49.1513102","FRVX+7F Jaraguá 99, Jaraguá do Sul - SC, Brasil","Construtora de casas pré-fabricadas"
"M. R. CONSTRUÇÕES","Construtora",,,,,,,,"Rua Aluizio de Azevedo n⁰1 - Olarias, Ponta Grossa - PR, 84035-080, Brasil","Olarias","Rua Aluizio de Azevedo n⁰1","Ponta Grossa","84035-080","PR","BR",,,"+55 41 99945-9236","+5541999459236","-25.1028052","-50.1493472","VVW2+V7 Olarias, Ponta Grossa - PR, Brasil","Construtora"
"Amanda Ximenez | Arquitetura e Interiores","Arquiteto",,,,,,,,"Rua Dr. Laudo de Camargo, 439 - Jardim Sao Luiz, Ribeirão Preto - SP, 14020-430, Brasil","Jardim Sao Luiz","Rua Dr. Laudo de Camargo, 439","Ribeirão Preto","14020-430","São Paulo","BR",,,"+55 16 99775-4433","+5516997754433","-21.1969801","-47.8019042","R53X+66 Jardim Sao Luiz, Ribeirão Preto - SP, Brasil","Arquiteto"
"Cupola Engenharia","Prestador de serviços de construção civil","Engenheiro civil","Empresa de engenharia civil","Construtora","Agente imobiliário",,,,"R. Pará, 1531 - sala 901 - Centro, Londrina - PR, 86010-450, Brasil","Centro","R. Pará, 1531 - sala 901","Londrina","86010-450","Paraná","BR",,,"+55 43 99927-2548","+5543999272548","-23.3145572","-51.1661376","MRPM+5G Centro, Londrina - PR, Brasil","Prestador de serviços de construção civil"
"Martins Engenharia Civil Ltda","Engenheiro civil",,,,,,,,"Av. Antônio Rodrigues Teixeira Júnior, 1488 - Jardim Carvalho, Ponta Grossa - PR, 84015-490, Brasil","Jardim Carvalho","Av. Antônio Rodrigues Teixeira Júnior, 1488","Ponta Grossa","84015-490","Paraná","BR",,,"+55 42 3223-6088","+554232236088","-25.0740229","-50.1505729","WRGX+9Q Jardim Carvalho, Ponta Grossa - PR, Brasil","Engenheiro civil"
"RK construção civil","Pedreiro","Service establishment","Reformas",,,,,,,,,,,,,,,"+55 42 99818-4872","+5542998184872","-25.1386663","-50.1596072",,"Pedreiro"
"Confiança Casas Pré - Fabricadas de Madeira","Construtora",,,,,,,,"Rua: Gracilides Coelho Reiser, 36 - São Domingos, Navegantes - SC, 88370-513, Brasil","São Domingos","Rua: Gracilides Coelho Reiser, 36","Navegantes","88370-513","SC","BR",,,"+55 47 99954-7908","+5547999547908","-26.8860411","-48.6622171","487Q+H4 São Domingos, Navegantes - SC, Brasil","Construtora"
"Casas Pré Fabricadas","Construtora de casas pré-fabricadas","Chalé","Casa de campo","Piscina",,,,,"R. Ver. Marlene de Souza Delfino, 89 - São Paulo, Navegantes - SC, 88371-078, Brasil","São Paulo","R. Ver. Marlene de Souza Delfino, 89","Navegantes","88371-078","Santa Catarina","BR",,,"+55 47 99764-4485","+5547997644485","-26.8779145","-48.6603967","48CQ+RR São Paulo, Navegantes - SC, Brasil","Construtora de casas pré-fabricadas"
"Ponta Engenharia LTDA","Metalúrgica",,,,,,,,"R. Dr. Caminhoa, 121/557 - Colonia Dona Luiza, Ponta Grossa - PR, 84045-240, Brasil","Colonia Dona Luiza","R. Dr. Caminhoa, 121/557","Ponta Grossa","84045-240","Paraná","BR",,,"+55 42 3122-0735","+554231220735","-25.127965","-50.1576754","VRCR+RW Colonia Dona Luiza, Ponta Grossa - PR, Brasil","Metalúrgica"
"Empreiteira J.A Borges (Construção Civil)","Pedreiro",,,,,,,,"R. Miguel Couto, 132 - Órfãs, Ponta Grossa - PR, 84070-260, Brasil","Órfãs","R. Miguel Couto, 132","Ponta Grossa","84070-260","Paraná","BR",,,"+55 42 98870-4471","+5542988704471","-25.0853645","-50.1710741","WR7H+VH Órfãs, Ponta Grossa - PR, Brasil","Pedreiro"
"Ponta Grossa Engenharia LTDA","Construtora",,,,,,,,"R. Sen. Albuquerque Maranhão, 219 - Neves, Ponta Grossa - PR, 84020-440, Brasil","Neves","R. Sen. Albuquerque Maranhão, 219","Ponta Grossa","84020-440","Paraná","BR",,,"+55 42 3235-1818","+554232351818","-25.0714249","-50.1274701","WVHF+C2 Neves, Ponta Grossa - PR, Brasil","Construtora"
"Trevo Soluções Construtivas","Construtora",,,,,,,,"Edifício Comercial Guarúna - R. Cel. Francisco Ribas, 33 - Centro, Ponta Grossa - PR, 84010-260, Brasil","Centro","Edifício Comercial Guarúna - R. Cel. Francisco Ribas, 33","Ponta Grossa","84010-260","Paraná","BR",,,"+55 42 98424-8454","+5542984248454","-25.0940728","-50.1624147","WR4Q+92 Centro, Ponta Grossa - PR, Brasil","Construtora"
"Marilda Marchiori Arquitetura e Interiores","Arquiteto",,,,,,,,"Edf. A. Yoshii Tower - Av. Me. Leônia Milito, 1500 - Salas 806 e 807 - Palhano 2, Londrina - PR, 86050-270, Brasil","Palhano 2","Edf. A. Yoshii Tower - Av. Me. Leônia Milito, 1500 - Salas 806 e 807","Londrina","86050-270","Paraná","BR",,,"+55 43 99976-9780","+5543999769780","-23.3346801","-51.1766356","MR8F+48 Palhano 2, Londrina - PR, Brasil","Arquiteto"
"Zaad Arquitetura","Arquiteto",,,,,,,,"R. Des. Hugo Simas, 62 - Sala 09 - Jardim Jockey Club, Londrina - PR, 86060-490, Brasil","Jardim Jockey Club","R. Des. Hugo Simas, 62 - Sala 09","Londrina","86060-490","Paraná","BR",,,"+55 43 99633-6625","+5543996336625","-23.3070324","-51.1721214","MRVH+55 Jardim Jockey Club, Londrina - PR, Brasil","Arquiteto"
"Lajes Engaste","Fornecedor de Pré-Moldados",,,,,,,,"R. Prof. Amália Elza Gasparoto Doná, 264 - Sítio Cercado, Curitiba - PR, 81900-680, Brasil","Sítio Cercado","R. Prof. Amália Elza Gasparoto Doná, 264","Curitiba","81900-680","Paraná","BR",,,"+55 41 3349-5350","+554133495350","-25.5387231","-49.2815986","FP69+G9 Sítio Cercado, Curitiba - PR, Brasil","Fornecedor de Pré-Moldados"
"Diego Bordin Arquitetura","Escritório de Arquitetura","Arquiteto","Designer arquitetônico","Serviço de design de projetos","Escritório de arquitetura de interiores","Decorador de interiores","Designer de interiores","Reformas","R. Paranaguá, 333 - Centro, Londrina - PR, 86020-030, Brasil","Centro","R. Paranaguá, 333","Londrina","86020-030","Paraná","BR",,,"+55 43 99942-0769","+5543999420769","-23.3085205","-51.1691313","MRRJ+H8 Centro, Londrina - PR, Brasil","Escritório de Arquitetura"
"VB Construção Civil Ltda","Construtora",,,,,,,,"R. Balduíno Taques, 233 - Centro, Ponta Grossa - PR, 84010-050, Brasil","Centro","R. Balduíno Taques, 233","Ponta Grossa","84010-050","Paraná","BR",,,"+55 42 98444-7049","+5542984447049","-25.0979487","-50.1625345","WR2P+RX Centro, Ponta Grossa - PR, Brasil","Construtora"
"Tramontina Arquitetura e Interiores","Arquiteto",,,,,,,,"R. Anita Garibaldi, 171 - Jardim Agari, Londrina - PR, 86020-500, Brasil","Jardim Agari","R. Anita Garibaldi, 171","Londrina","86020-500","Paraná","BR",,,"+55 43 99914-6514","+5543999146514","-23.3192756","-51.1647481","MRJP+74 Jardim Agari, Londrina - PR, Brasil","Arquiteto"
"Duarte alvenaria estrutural","Construtora",,,,,,,,"R. Pedro Silvestre Filho, Sorocaba - SP, 18087-807, Brasil",,"R. Pedro Silvestre Filho","Sorocaba","18087-807","São Paulo","BR",,,"+55 17 99662-3813","+5517996623813","-23.4531811","-47.3640283","GJWP+P9 Sorocaba, São Paulo, Brasil","Construtora"
"Empreiteira D.Cardoso","Reformas",,,,,,,,"R. Artur Tarsitani - Jardim Goncalves, Sorocaba - SP, 18016-620, Brasil","Jardim Goncalves","R. Artur Tarsitani","Sorocaba","18016-620","São Paulo","BR",,,"+55 15 99662-2409","+5515996622409","-23.4914296","-47.4258143","GH5F+CM Jardim Goncalves, Sorocaba - SP, Brasil","Reformas"
"GS Pré Moldado - Contrução de obras","Construtora",,,,,,,,"Rua Ana Ponce Martins - Marins, Sorocaba - SP, 18055-864, Brasil","Marins","Rua Ana Ponce Martins","Sorocaba","18055-864","São Paulo","BR",,,"+55 15 99686-8698","+5515996868698","-23.4986139","-47.5133747","GF2P+HM Sorocaba, São Paulo, Brasil","Construtora"
"Sergio Tozzi - Obras e Restaurações","Pedreiro",,,,,,,,"R. Miguel Penteadura, 136 - Quintais do Imperador, Sorocaba - SP, 18052-603, Brasil","Quintais do Imperador","R. Miguel Penteadura, 136","Sorocaba","18052-603","São Paulo","BR",,,"+55 15 99668-3674","+5515996683674","-23.5030025","-47.542061","FFW5+Q5 Quintais do Imperador, Sorocaba - SP, Brasil","Pedreiro"
"DaRua Arquitetura","Arquiteto","Escritório de Arquitetura","Escritório de arquitetura de interiores","Designer de interiores",,,,,"Av. Juscelino Kubitscheck, nº 935 - Centro, Londrina - PR, 86060-360, Brasil","Centro","Av. Juscelino Kubitscheck, nº 935","Londrina","86060-360","Paraná","BR",,,"+55 43 98488-9852","+5543984889852","-23.3100863","-51.1703812","MRQH+XR Centro, Londrina - PR, Brasil","Arquiteto"
"Pedreiro Paraná.","Pedreiro",,,,,,,,"R. Octávio Borghi, Sorocaba - SP, 18078-736, Brasil",,"R. Octávio Borghi","Sorocaba","18078-736","São Paulo","BR",,,"+55 15 99689-9315","+5515996899315","-23.4281944","-47.4641034","HGCP+P9 Sorocaba, São Paulo, Brasil","Pedreiro"
"Chris Brasil Arquitetura","Arquiteto",,,,,,,,"R. Maria Lúcia da Paz, 550 - sala 406 - Palhano 1, Londrina - PR, 86050-470, Brasil","Palhano 1","R. Maria Lúcia da Paz, 550 - sala 406","Londrina","86050-470","Paraná","BR",,,"+55 43 99172-9010","+5543991729010","-23.3312106","-51.180727","MR99+GP Palhano 1, Londrina - PR, Brasil","Arquiteto"
"Henrique Sfoglia Pedreiro Profissional Para Reformas e Construções","Construtora","Pedreiro","Encanador","Telhadista","Serviço de conserto de piscinas",,,,"R. Octávio Borghi - Jardim Bonsucesso, Sorocaba - SP, 18078-736, Brasil","Jardim Bonsucesso","R. Octávio Borghi","Sorocaba","18078-736","São Paulo","BR",,,"+55 15 99642-9573","+5515996429573","-23.4283706","-47.4641955","HGCP+M8 Jardim Bonsucesso, Sorocaba - SP, Brasil","Construtora"
"WS Construções & Reformas","Pedreiro",,,,,,,,"R. Dr. Américo Figueiredo, 7401 - Wanel Ville, Sorocaba - SP, 18053-000, Brasil","Wanel Ville","R. Dr. Américo Figueiredo, 7401","Sorocaba","18053-000","São Paulo","BR",,,"+55 15 98102-7174","+5515981027174","-23.4880425","-47.5324045","GF69+Q2 Sorocaba, São Paulo, Brasil","Pedreiro"
"REFORMAS EM GERAL. SOROCABA E VOTORANTIM. AZULEJISTA.PEDREIRO","Reformas","Service establishment","Serviço de acabamento de pisos","Pedreiro","Encanador","Telhadista",,,,,,,,,,,,"+55 15 99771-8069","+5515997718069","-23.3474353","-47.4426415",,"Reformas"
"Serviços de Alvenaria, Encanamento, Eletrica residencial, etc","Eletricista","Encanador","Reformas",,,,,,"R. Dr. Fernando Soares Fernandes, 450 - Vila Nova Sorocaba, Sorocaba - SP, 18070-450, Brasil","Vila Nova Sorocaba","R. Dr. Fernando Soares Fernandes, 450","Sorocaba","18070-450","São Paulo","BR",,,"+55 15 98816-2413","+5515988162413","-23.4736455","-47.4825778","GGG8+GX Vila Nova Sorocaba, Sorocaba - SP, Brasil","Eletricista"
"Gesso Teto","Empreiteira de serviços com gesso","Loja de materiais para paredes de gesso",,,,,,,"Av. Paranavaí, 2297 - Parque Industrial Bandeirantes, Maringá - PR, 87070-130, Brasil","Parque Industrial Bandeirantes","Av. Paranavaí, 2297","Maringá","87070-130","Paraná","BR",,,"+55 44 3224-7694","+554432247694","-23.4190119","-51.9801892","H2J9+9W Parque Industrial Bandeirantes, Maringá - PR, Brasil","Empreiteira de serviços com gesso"
"Gesso+","Loja de materiais para paredes de gesso","Empreiteira de serviços com gesso","Fabricante de estruturas de aço",,,,,,"R. Pioneiro Arlindo Pedralli, 1336 - Jardim Santa Helena, Maringá - PR, 87083-327, Brasil","Jardim Santa Helena","R. Pioneiro Arlindo Pedralli, 1336","Maringá","87083-327","Paraná","BR",,,"+55 44 3023-4340","+554430234340","-23.3894916","-51.9521956","J26X+64 Jardim Santa Helena, Maringá - PR, Brasil","Loja de materiais para paredes de gesso"
"Europlac G|D","Empreiteira de serviços com gesso",,,,,,,,"R. Allan Kardec, n° 542 - Parque Avenida, Maringá - PR, 87025-410, Brasil","Parque Avenida","R. Allan Kardec, n° 542","Maringá","87025-410","Paraná","BR",,,"+55 44 4141-3353","+554441413353","-23.389019","-51.9253923","J36F+9R Parque Avenida, Maringá - PR, Brasil","Empreiteira de serviços com gesso"
"Gesso Aoki","Empreiteira de serviços com gesso",,,,,,,,"Av. São Domingos, 1866 - Vila Morangueira, Maringá - PR, 87040-000, Brasil","Vila Morangueira","Av. São Domingos, 1866","Maringá","87040-000","Paraná","BR",,,"+55 44 99932-1041","+5544999321041","-23.4171407","-51.9093464","H3MR+47 Vila Morangueira, Maringá - PR, Brasil","Empreiteira de serviços com gesso"
"Fs Reformas e Acabamentos |Pedreiro em Sorocaba","Construtor Imobiliário",,,,,,,,"Viela Pedro Prestes de Souza, 28 - Jardim Nova Esperanca, Sorocaba - SP, 18061-319, Brasil","Jardim Nova Esperanca","Viela Pedro Prestes de Souza, 28","Sorocaba","18061-319","São Paulo","BR",,,"+55 15 98178-0535","+5515981780535","-23.4969553","-47.4885395","GG36+6H Jardim Nova Esperanca, Sorocaba - SP, Brasil","Construtor Imobiliário"
"Gesso Império","Empreiteira de serviços com gesso",,,,,,,,"R. Rio Tapajós - Conj. Res. Branca Vieira, Maringá - PR, 87043-440, Brasil","Conjunto Residencial Branca Vieira","R. Rio Tapajós","Maringá","87043-440","Paraná","BR",,,"+55 44 99812-7108","+5544998127108","-23.3965255","-51.8949676","J434+92 Conj. Res. Branca Vieira, Maringá - PR, Brasil","Empreiteira de serviços com gesso"
"ConGesso","Empreiteira de serviços com gesso","Loja de materiais para paredes de gesso",,,,,,,"Marginal Avenida Pref. Sincler Sambatti - Jardim São Silvestre, Maringá - PR, 87053-105, Brasil","Jardim São Silvestre","Marginal Avenida Pref. Sincler Sambatti","Maringá","87053-105","Paraná","BR",,,"+55 44 3255-2535","+554432552535","-23.456394","-51.9090005","G3VR+C9 Maringá, Paraná, Brasil","Empreiteira de serviços com gesso"
