title,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName
Clínica Anello,Clínica de Quiropraxia,Clínica de Fisioterapia,,,,,"R. Cel. Vidal Ramos, 1 - sala 508 - Jardim Blumenau, Blumenau - SC, 89010-330, Brasil",Jardim Blumenau,"R. Cel. Vidal Ramos, 1 - sala 508",Blumenau,89010-330,Santa Catarina,BR,,,+55 47 3340-3340,+554733403340,"-26,9264619","-49,0606604","3WFQ+CP Jardim Blumenau, Blumenau - SC, Brasil",Clínica de Quiropraxia
João Vitor Azevedo - Quiropraxia,Clínica de Quiropraxia,,,,,,"R. Tomé de Souza, 76 - Vila Nova, Blumenau - SC, 89035-270, Brasil",Vila Nova,"R. Tomé de Souza, 76",Blumenau,89035-270,Santa Catarina,BR,,,+55 47 99105-5428,+5547991055428,"-26,9038207","-49,0858211","3WW7+FM Vila Nova, Blumenau - SC, Brasil",Clínica de Quiropraxia
✅Dr. Lucas Jimenez - Fisioterapia & Quiropraxia Avançada,Fisioterapeuta,Clínica de Quiropraxia,,,,,"Espaço Unioftal - Rua Doutor Antônio Bahia Monteiro, 465 Edifício Medical Center - 3°Andar, Consultório 07 - Parque Res. Comendador Mançor Daud, São José do Rio Preto - SP, 15070-450, Brasil",Parque Residencial Comendador Mançor Daud,"Espaço Unioftal - Rua Doutor Antônio Bahia Monteiro, 465 Edifício Medical Center - 3°Andar, Consultório 07",São José do Rio Preto,15070-450,SP,BR,,,+55 17 98813-5195,+5517988135195,"-20,8222146","-49,3643233","5JHP+47 Parque Res. Comendador Mançor Daud, São José do Rio Preto - SP, Brasil",Fisioterapeuta
Dr. Silvio Rogerio Fisioterapia Quiropraxia e terapia manual,Fisioterapeuta,,,,,,"Centro empresarial Plaza Rio Negro - R. Santa Maria, 464 - sala 08 - Vila Santo Antonio, São José do Rio Preto - SP, 15014-335, Brasil",Vila Santo Antonio,"Centro empresarial Plaza Rio Negro - R. Santa Maria, 464 - sala 08",São José do Rio Preto,15014-335,São Paulo,BR,,,+55 17 99137-7569,+5517991377569,"-20,8215457","-49,3790465","5JHC+99 Vila Santo Antonio, São José do Rio Preto - SP, Brasil",Fisioterapeuta
Andréia Mallmann | Fisioterapia e Quiropraxia,Clínica de Quiropraxia,Clínica de Fisioterapia,Estúdio de pilates,,,,"R. Nereu Ramos, 367 - loja 03 - Jardim Blumenau, Blumenau - SC, 89010-401, Brasil",Jardim Blumenau,"R. Nereu Ramos, 367 - loja 03",Blumenau,89010-401,Santa Catarina,BR,,,+55 47 98823-2522,+5547988232522,"-26,9255371","-49,0626397","3WFP+QW Jardim Blumenau, Blumenau - SC, Brasil",Clínica de Quiropraxia
Rafael Arantes Quiropraxia | São José do Rio Preto - SP,Clínica de Quiropraxia,Massoterapeuta,Fisioterapeuta,Clínica de Fisioterapia,Massagista esportivo,,"Navarro Building - R. Jaír Martins Mil Homens, 500 - Sala 1119 - Vila Sao Jose, São José do Rio Preto - SP, 15090-080, Brasil",Vila Sao Jose,"Navarro Building - R. Jaír Martins Mil Homens, 500 - Sala 1119",São José do Rio Preto,15090-080,São Paulo,BR,,,+55 17 99143-5948,+5517991435948,"-20,8269688","-49,3893156","5JF6+67 Vila Sao Jose, São José do Rio Preto - SP, Brasil",Clínica de Quiropraxia
Fisioterapia e Quiropraxia | Dr. João Vitor - Rio Preto,Fisioterapeuta,,,,,,"R. Gilberto Lopes da Silva, 1900 - Centro, São José do Rio Preto - SP, 15085-390, Brasil",Centro,"R. Gilberto Lopes da Silva, 1900",São José do Rio Preto,15085-390,São Paulo,BR,,,+55 17 98172-2388,+5517981722388,"-20,8326777","-49,3904714","5J85+WR São José do Rio Preto, São Paulo, Brasil",Fisioterapeuta
Massagem Shin-shin Shiatsu,Clínica de Quiropraxia,,,,,,"R. Pará, 971 - Centro, Londrina - PR, 86010-450, Brasil",Centro,"R. Pará, 971",Londrina,86010-450,Paraná,BR,,,+55 43 3321-3071,+554333213071,"-23,3146112","-51,1607785","MRPQ+5M Centro, Londrina - PR, Brasil",Clínica de Quiropraxia
Clinica reabilitação,Fisioterapeuta,,,,,,"R. João Penteado, 1742 - Jardim America, Ribeirão Preto - SP, 14020-180, Brasil",Jardim America,"R. João Penteado, 1742",Ribeirão Preto,14020-180,São Paulo,BR,,,+55 16 3610-4964,+551636104964,"-21,1915147","-47,8042878","R55W+97 Jardim America, Ribeirão Preto - SP, Brasil",Fisioterapeuta
Clínica Nova Reabilitação,Clínica de Fisioterapia,,,,,,"R. Olavo Bilac, 505 - Vila Seixas, Ribeirão Preto - SP, 14020-020, Brasil",Vila Seixas,"R. Olavo Bilac, 505",Ribeirão Preto,14020-020,São Paulo,BR,,,+55 16 3610-0042,+551636100042,"-21,184942","-47,8031104","R58W+2Q Vila Seixas, Ribeirão Preto - SP, Brasil",Clínica de Fisioterapia
LD Fisio - Clínica de Fisioterapia,Fisioterapeuta,,,,,,"R. José Leal, 1064 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-260, Brasil",Alto da Boa Vista,"R. José Leal, 1064",Ribeirão Preto,14025-260,São Paulo,BR,,,+55 16 3442-0103,+551634420103,"-21,1959088","-47,8119986","R53Q+J6 Alto da Boa Vista, Ribeirão Preto - SP, Brasil",Fisioterapeuta
Restart Fisioterapia Domiciliar Idosos | Fisioterapeuta Especialista em Geriatria | Zona Sul Ribeirão Preto e Bonfim Paulista,Fisioterapeuta,Serviço de assistência médica domiciliar,Clínica de Reabilitação,,,,"Av. Cel. Fernando Ferreira Leite, 1520 - 16° Andar - Jardim California, Ribeirão Preto - SP, 14026-020, Brasil",Jardim California,"Av. Cel. Fernando Ferreira Leite, 1520 - 16° Andar",Ribeirão Preto,14026-020,São Paulo,BR,,,+55 16 99279-7310,+5516992797310,"-21,209272","-47,81476","Q5RP+73 Jardim California, Ribeirão Preto - SP, Brasil",Fisioterapeuta
Keite Noguti | Fisioterapia Ortopédica | Fisioterapia Esportiva | Fisioterapia em Ribeirão Preto,Fisioterapeuta,Osteopata,Clínica de Fisioterapia,Clínica de Reabilitação,,,"Av. Prof. João Fiúsa, 507 - Sala Fisioterapeuta - Alto da Boa Vista, Ribeirão Preto - SP, 14020-299, Brasil",Alto da Boa Vista,"Av. Prof. João Fiúsa, 507 - Sala Fisioterapeuta",Ribeirão Preto,14020-299,São Paulo,BR,,,+55 16 98159-5679,+5516981595679,"-21,19752","-47,8183043","R52J+XM Alto da Boa Vista, Ribeirão Preto - SP, Brasil",Fisioterapeuta
LUCIMAR THOMAZ Terapeuta da dor,Terapeuta,Clínica de acupuntura,Acupunturista,Clínica de Quiropraxia,Serviço de hipnoterapia,Terapeuta reiki,"R. Visc. de Inhaúma, 468 - Sala 63 - Centro, Ribeirão Preto - SP, 14010-100, Brasil",Centro,"R. Visc. de Inhaúma, 468 - Sala 63",Ribeirão Preto,14010-100,São Paulo,BR,,,+55 16 99600-6928,+5516996006928,"-21,1764713","-47,8086633","R5FR+CG Centro, Ribeirão Preto - SP, Brasil",Terapeuta
Pulse Fisioterapia Esportiva,Clínica de Fisioterapia,,,,,,"Av. Carlos Consoni, 180 - Jardim Canada, Ribeirão Preto - SP, 14024-270, Brasil",Jardim Canada,"Av. Carlos Consoni, 180",Ribeirão Preto,14024-270,São Paulo,BR,,,+55 16 99621-9649,+5516996219649,"-21,2190979","-47,8136796","Q5JP+9G Jardim Canada, Ribeirão Preto - SP, Brasil",Clínica de Fisioterapia
Acupuntura e Quiropraxia - João Leão,Terapeuta,Clínica de acupuntura,,,,,"Rua Jácomo Tonetto, 259 - Jardim America, Ribeirão Preto - SP, 14020-120, Brasil",Jardim America,"Rua Jácomo Tonetto, 259",Ribeirão Preto,14020-120,São Paulo,BR,,,+55 16 3635-7260,+551636357260,"-21,19045","-47,8002317","R55X+RW Jardim America, Ribeirão Preto - SP, Brasil",Terapeuta
Clinica de Quiropraxia e Fisioterapia - Viva Saúde e Bem Estar,Clínica de Quiropraxia,Clínica de Fisioterapia,Estúdio de pilates,,,,"R. Moreira de Oliveira, 122 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-300, Brasil",Alto da Boa Vista,"R. Moreira de Oliveira, 122",Ribeirão Preto,14025-300,São Paulo,BR,,,+55 16 99105-9026,+5516991059026,"-21,1942211","-47,8207188","R54H+8P Alto da Boa Vista, Ribeirão Preto - SP, Brasil",Clínica de Quiropraxia
Quiropraxia Ribeirão Preto,Clínica de Quiropraxia,,,,,,"R. José Borges da Costa, 823 - Alto da Boa Vista, Ribeirão Preto - SP, 14025-660, Brasil",Alto da Boa Vista,"R. José Borges da Costa, 823",Ribeirão Preto,14025-660,São Paulo,BR,,,+55 11 99720-0922,+5511997200922,"-21,2070174","-47,8139688","Q5VP+5C Alto da Boa Vista, Ribeirão Preto - SP, Brasil",Clínica de Quiropraxia
Dra Bruna Medina Felicio,Clínica de Quiropraxia,Clínica especializada,,,,,"Av. Borges de Medeiros, 3375 - Centro, Gramado - RS, 95670-000, Brasil",Centro,"Av. Borges de Medeiros, 3375",Gramado,95670-000,Rio Grande do Sul,BR,,,+55 43 99638-6627,+5543996386627,"-29,3734229","-50,8772421","J4GF+J4 Centro, Gramado - RS, Brasil",Clínica de Quiropraxia
Terapeuta Izabela Rosa,Clínica de Quiropraxia,,,,,,"R. Astorga, 190 - sala 03 - Hedy, Londrina - PR, 86061-160, Brasil",Hedy,"R. Astorga, 190 - sala 03",Londrina,86061-160,Paraná,BR,,,+55 43 99698-3624,+5543996983624,"-23,3112236","-51,1796465","MRQC+G4 Hedy, Londrina - PR, Brasil",Clínica de Quiropraxia
"Agnaldo Martins - Quiropraxia , massoterapia .Londrina,",Saúde e segurança ocupacional,,,,,,"Rua : Clóvis Bevilaqua, 121 - Vila Zelina, Londrina - PR, 86015-590, Brasil",Vila Zelina,"Rua : Clóvis Bevilaqua, 121",Londrina,86015-590,Paraná,BR,,,+55 43 98438-2170,+5543984382170,"-23,3339054","-51,1558361","MR8V+CM Vila Zelina, Londrina - PR, Brasil",Saúde e segurança ocupacional
Quiropraxia e Acupuntura em Londrina - Expedito de Lima,Clínica de Quiropraxia,Clínica de acupuntura,Acupunturista,,,,"R. Sergipe, 1700 - Centro, Londrina - PR, 86020-330, Brasil",Centro,"R. Sergipe, 1700",Londrina,86020-330,Paraná,BR,,,+55 43 99110-5333,+5543991105333,"-23,3097314","-51,1695435","MRRJ+45 Centro, Londrina - PR, Brasil",Clínica de Quiropraxia
Dr. Vagner Augusto,Fisioterapeuta,Clínica de Quiropraxia,,,,,"Av. São João, 912 - Vila Siam, Londrina - PR, 86039-290, Brasil",Vila Siam,"Av. São João, 912",Londrina,86039-290,Paraná,BR,,,+55 43 99685-1650,+5543996851650,"-23,3191745","-51,1386729","MVJ6+8G Vila Siam, Londrina - PR, Brasil",Fisioterapeuta
Dr Ciro Veronese,Centro médico,,,,,,"Av. Ayrton Senna da Silva, 900 - Palhano 1, Londrina - PR, 86050-460, Brasil",Palhano 1,"Av. Ayrton Senna da Silva, 900",Londrina,86050-460,Paraná,BR,,,+55 43 3336-1017,+554333361017,"-23,3350086","-51,1780246","MR7C+XQ Palhano 1, Londrina - PR, Brasil",Centro médico
Ortopedia Especialista,Clínica ortopédica,,,,,,"R. Sen. Souza Naves, 1507 - Centro, Londrina - PR, 86010-160, Brasil",Centro,"R. Sen. Souza Naves, 1507",Londrina,86010-160,Paraná,BR,,,+55 43 3344-3176,+554333443176,"-23,3258109","-51,157576","MRFR+MX Centro, Londrina - PR, Brasil",Clínica ortopédica
Instituto da Coluna e Dor,Cirurgião ortopédico,,,,,,"R. Tomas Antônio Gonzaga, 54 - Lago Parque, Londrina - PR, 86015-320, Brasil",Lago Parque,"R. Tomas Antônio Gonzaga, 54",Londrina,86015-320,Paraná,BR,,,+55 43 99182-0106,+5543991820106,"-23,3308682","-51,1592563","MR9R+M7 Lago Parque, Londrina - PR, Brasil",Cirurgião ortopédico
Instituto Bacci Fisioterapia Quiropraxia Ribeirão Preto,Clínica de Fisioterapia,,,,,,"Academia Pacer novo shopping - Av. Pres. Kennedy, 1500 - Ribeirânia, Ribeirão Preto - SP, 14096-901, Brasil",Ribeirânia,"Academia Pacer novo shopping - Av. Pres. Kennedy, 1500",Ribeirão Preto,14096-901,São Paulo,BR,,,+55 16 99222-0575,+5516992220575,"-21,2066863","-47,7659135","Q6VM+8J Ribeirânia, Ribeirão Preto - SP, Brasil",Clínica de Fisioterapia
Uniort.e Prime Ortopedia Especializada,Hospital especializado,,,,,,"R. Valparaíso, 36 - Guanabara, Londrina - PR, 86050-150, Brasil",Guanabara,"R. Valparaíso, 36",Londrina,86050-150,Paraná,BR,,,+55 43 3321-0900,+554333210900,"-23,3332013","-51,1684382","MR8J+PJ Guanabara, Londrina - PR, Brasil",Hospital especializado
Clínica De Fraturas e Ortopedia Em Londrina,Clínica ortopédica,Consultório médico,Clínica especializada,,,,"R. Sen. Souza Naves, 2013 - Jardim Londrilar, Londrina - PR, 86015-430, Brasil",Jardim Londrilar,"R. Sen. Souza Naves, 2013",Londrina,86015-430,Paraná,BR,,,+55 43 3305-1982,+554333051982,"-23,330371","-51,1575932","MR9R+VX Jardim Londrilar, Londrina - PR, Brasil",Clínica ortopédica
Ortomedical - Centro de Ortopedia,Centro médico,,,,,,"Av. Ayrton Senna da Silva, 900 - Palhano 1, Londrina - PR, 86050-460, Brasil",Palhano 1,"Av. Ayrton Senna da Silva, 900",Londrina,86050-460,Paraná,BR,,,+55 43 3336-1017,+554333361017,"-23,3350325","-51,1781063","MR7C+XQ Palhano 1, Londrina - PR, Brasil",Centro médico
Fisioterapeuta Mikael - Fisioterapia e Quiropraxia,Clínica de Fisioterapia,,,,,,"Rua Marino Bruno Regini, 287 - Sala 15 - Nova Ribeirânia, Ribeirão Preto - SP, 14096-710, Brasil",Nova Ribeirânia,"Rua Marino Bruno Regini, 287 - Sala 15",Ribeirão Preto,14096-710,São Paulo,BR,,,+55 18 98178-5687,+5518981785687,"-21,1996522","-47,7722291","R62H+44 Ribeirão Preto, SP, Brasil",Clínica de Fisioterapia
EK Quiropraxia,Clínica de Quiropraxia,,,,,,"Estr. da Rhodia, 5500/5501 - Jardim do Sol, Campinas - SP, 13085-205, Brasil",Jardim do Sol,"Estr. da Rhodia, 5500/5501",Campinas,13085-205,São Paulo,BR,,,+55 19 98169-5682,+5519981695682,"-22,7874267","-47,0828155","6W78+2V Jardim do Sol, Campinas - SP, Brasil",Clínica de Quiropraxia
CLÍNICA OCHUCCI,Clínica de Quiropraxia,,,,,,"Rua Frei Antônio de Pádua, 790 - Jardim Guanabara, Campinas - SP, 13073-330, Brasil",Jardim Guanabara,"Rua Frei Antônio de Pádua, 790",Campinas,13073-330,São Paulo,BR,,,+55 19 98341-1514,+5519983411514,"-22,8908351","-47,0712251","4W5H+MG Jardim Guanabara, Campinas - SP, Brasil",Clínica de Quiropraxia
Alfa Fisio,Clínica de Fisioterapia,,,,,,"Praça La Salle, 35 - Jardim Canadá, Londrina - PR, 86020-480, Brasil",Jardim Canadá,"Praça La Salle, 35",Londrina,86020-480,Paraná,BR,,,+55 43 3028-4466,+554330284466,"-23,3186489","-51,1692926","MRJJ+G7 Londrina, Paraná, Brasil",Clínica de Fisioterapia
Body Balance Studio Pilates,Estúdio de pilates,,,,,,"R. Riachuelo, 465 - 5 andar Sala 51 - Conceicao, Campinas - SP, 13015-081, Brasil",Conceicao,"R. Riachuelo, 465 - 5 andar Sala 51",Campinas,13015-081,São Paulo,BR,,,+55 19 99299-1425,+5519992991425,"-22,9061024","-47,0520024","3WVX+H5 Campinas, São Paulo, Brasil",Estúdio de pilates
Clínica Relvas,Estúdio de pilates,,,,,,"Av. Rio de Janeiro, 67 - Fundacao da Casa Popular, Campinas - SP, 13031-340, Brasil",Fundacao da Casa Popular,"Av. Rio de Janeiro, 67",Campinas,13031-340,São Paulo,BR,,,+55 19 3272-0489,+551932720489,"-22,9193314","-47,0771791","3WJF+74 Fundacao da Casa Popular, Campinas - SP, Brasil",Estúdio de pilates
Jorge Santos - Centro de Fisioterapia e Pilates,Clínica de Fisioterapia,Estúdio de pilates,Terapeuta reiki,,,,"R. Dr. João Colin, 1285 - Sala Grécia e Sala Islândia, R. Dr. João Colin, 1285 - Sala Islândia - América, Joinville - SC, 89204-001, Brasil",América,"R. Dr. João Colin, 1285 - Sala Grécia e Sala Islândia, R. Dr. João Colin, 1285 - Sala Islândia",Joinville,89204-001,SC,BR,,,+55 47 99601-4789,+5547996014789,"-26,2895754","-48,8488658","P562+5F América, Joinville - SC, Brasil",Clínica de Fisioterapia
Voll Pilates Studios América,Estúdio de pilates,,,,,,"R. XV de Novembro, 1927 - América, Joinville - SC, 89201-602, Brasil",América,"R. XV de Novembro, 1927",Joinville,89201-602,Santa Catarina,BR,,,+55 47 99239-7192,+5547992397192,"-26,2977913","-48,8610185","P42Q+VH América, Joinville - SC, Brasil",Estúdio de pilates
Clínica De quiropraxia,Massoterapeuta,,,,,,"Av. Santos Dumont - Londrina, PR, 86089-050, Brasil",Londrina,Av. Santos Dumont,Londrina,,Paraná,BR,,,+55 44 98828-3506,+5544988283506,"-23,3223024","-51,1437603","MVH4+3F Londrina, PR, Brasil",Massoterapeuta
Orthocore - Clínica de Ortopedia e Reabilitação,Clínica ortopédica,,,,,,"Av. Harry Prochet, 710 - Jardim Sao Jorge, Londrina - PR, 86047-040, Brasil",Jardim Sao Jorge,"Av. Harry Prochet, 710",Londrina,86047-040,Paraná,BR,,,+55 43 4141-5122,+554341415122,"-23,3443418","-51,1620628","MR4Q+75 Jardim Sao Jorge, Londrina - PR, Brasil",Clínica ortopédica
Fitness Studio,Academia,,,,,,"R. Emílio Artmann, 56 - América, Joinville - SC, 89204-270, Brasil",América,"R. Emílio Artmann, 56",Joinville,89204-270,Santa Catarina,BR,,,+55 47 99292-7400,+5547992927400,"-26,2928398","-48,8487654","P542+VF América, Joinville - SC, Brasil",Academia
Raphael Cruz,Fisioterapeuta,,,,,,"R. Prof. Joaquim de Matos Barreto, 1166 - Lima Azevedo, Londrina - PR, 86060-010, Brasil",Lima Azevedo,"R. Prof. Joaquim de Matos Barreto, 1166",Londrina,86060-010,Paraná,BR,,,+55 43 3367-1970,+554333671970,"-23,3240414","-51,1771095","MRGF+95 Lima Azevedo, Londrina - PR, Brasil",Fisioterapeuta
Dra Larissa Soares,Clínica de Fisioterapia,Clínica da saúde da mulher,,,,,"R. Uraí, 123 - Jardim Santo Antonio, Londrina - PR, 86040-460, Brasil",Jardim Santo Antonio,"R. Uraí, 123",Londrina,86040-460,Paraná,BR,,,+55 43 99150-5864,+5543991505864,"-23,3066642","-51,175267","MRVF+8V Jardim Santo Antonio, Londrina - PR, Brasil",Clínica de Fisioterapia
Clínica de Fisioterapia Nelson Shirabe,Clínica de Fisioterapia,,,,,,"R. Tijuca, 220 - Parque do Lago Juliana, Londrina - PR, 86015-230, Brasil",Parque do Lago Juliana,"R. Tijuca, 220",Londrina,86015-230,Paraná,BR,,,+55 43 3321-6763,+554333216763,"-23,327664","-51,1697028","MRCJ+W4 Parque do Lago Juliana, Londrina - PR, Brasil",Clínica de Fisioterapia
Fisioclinica San Miguel,Clínica de Fisioterapia,Psicanalista,,,,,"R. Archangelo Massaro, 477 - Jardim São Paulo, Londrina - PR, 86083-330, Brasil",Jardim São Paulo,"R. Archangelo Massaro, 477",Londrina,86083-330,Paraná,BR,,,+55 43 99997-8125,+5543999978125,"-23,2653252","-51,1672107","PRMM+V4 Jardim São Paulo, Londrina - PR, Brasil",Clínica de Fisioterapia
Equilíbrio,Clínica de Fisioterapia,,,,,,"R. Tijuca, 150 - Parque do Lago Juliana, Londrina - PR, 86015-230, Brasil",Parque do Lago Juliana,"R. Tijuca, 150",Londrina,86015-230,Paraná,BR,,,+55 43 99921-9249,+5543999219249,"-23,3276143","-51,169145","MRCJ+X8 Parque do Lago Juliana, Londrina - PR, Brasil",Clínica de Fisioterapia
CAIO MARTINS QUIROPRAXIA,Clínica de Quiropraxia,,,,,,"Av. José Bonifácio, 2486 - PAINEIRAS, Campinas - SP, 13092-305, Brasil",PAINEIRAS,"Av. José Bonifácio, 2486",Campinas,13092-305,São Paulo,BR,,,+55 19 99426-1325,+5519994261325,"-22,898124","-47,030115","4X29+QX Campinas, São Paulo, Brasil",Clínica de Quiropraxia
Dr. João Vitor | Quiropraxia Clínica,Fisioterapeuta,,,,,,"Av. Orosimbo Maia - Cambuí, Campinas - SP, 13010-211, Brasil",Cambuí,Av. Orosimbo Maia,Campinas,13010-211,São Paulo,BR,,,+55 19 99279-3301,+5519992793301,"-22,8914076","-47,0587662","4W5R+CF Campinas, São Paulo, Brasil",Fisioterapeuta
"CETRO - Centro de Traumologia, Reabilitação e Ortopedia",Clínica ortopédica,Neurologista,Neurocirurgião,,,,"R. Álvaro Muller, 402 - Vila Itapura, Campinas - SP, 13023-180, Brasil",Vila Itapura,"R. Álvaro Muller, 402",Campinas,13023-180,São Paulo,BR,,,+55 19 3231-3288,+551932313288,"-22,8951349","-47,0624197","4W3Q+W2 Vila Itapura, Campinas - SP, Brasil",Clínica ortopédica
Dr.Alexandre Augusto Ferreira - Ortopedia e Traumatologia,Médico,,,,,,"Av. Dr. Moraes Salles, 1136 - conj 52 - Centro, Campinas - SP, 13010-001, Brasil",Centro,"Av. Dr. Moraes Salles, 1136 - conj 52",Campinas,13010-001,São Paulo,BR,,,+55 19 3232-4522,+551932324522,"-22,9056795","-47,053658","3WVW+PG Centro, Campinas - SP, Brasil",Médico
Dr. Fabio Kazuo Soejima,Clínica ortopédica,,,,,,"Fritz Muller Center - R. Berta Odebrecht, 66 - 7º andar - Sala 703 - Garcia, Blumenau - SC, 89020-403, Brasil",Garcia,"Fritz Muller Center - R. Berta Odebrecht, 66 - 7º andar - Sala 703",Blumenau,89020-403,Santa Catarina,BR,,,+55 47 3322-7496,+554733227496,"-26,9299794","-49,0549202","3WCW+22 Garcia, Blumenau - SC, Brasil",Clínica ortopédica
Clínica de Terapias Integradas Blumenau,Clínica especializada,,,,,,"Av. Martin Luther, 816 - Victor Konder, Blumenau - SC, 89012-010, Brasil",Victor Konder,"Av. Martin Luther, 816",Blumenau,89012-010,Santa Catarina,BR,,,+55 47 98835-2690,+5547988352690,"-26,9069135","-49,0728157","3WVG+6V Victor Konder, Blumenau - SC, Brasil",Clínica especializada
Itoupavafisio Clínica de Fisioterapia,Clínica de Fisioterapia,,,,,,"R. Henrique Bennertz, 189 - Itoupava Norte, Blumenau - SC, 89053-220, Brasil",Itoupava Norte,"R. Henrique Bennertz, 189",Blumenau,89053-220,Santa Catarina,BR,,,+55 47 3323-1361,+554733231361,"-26,8804684","-49,0840344","4W98+R9 Itoupava Norte, Blumenau - SC, Brasil",Clínica de Fisioterapia
